Country,iso_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths,Date,YearQuarter
Guatemala,GTM,AMR,UMC,2026,1,65+,0.0,2026-01-01,2026Q1
Guatemala,GTM,AMR,UMC,2026,2,65+,0.0,2026-02-01,2026Q1
Guatemala,GTM,AMR,UMC,2026,4,65+,0.0,2026-04-01,2026Q2
Guatemala,GTM,AMR,UMC,2026,3,65+,0.0,2026-03-01,2026Q1
Greece,GRC,EUR,HIC,2026,3,65+,10.0,2026-03-01,2026Q1
Greece,GRC,EUR,HIC,2026,2,65+,15.0,2026-02-01,2026Q1
Greece,GRC,EUR,HIC,2026,1,65+,34.0,2026-01-01,2026Q1
Greece,GRC,EUR,HIC,2026,4,65+,3.0,2026-04-01,2026Q2
Honduras,HND,AMR,LMC,2026,1,65+,0.0,2026-01-01,2026Q1
Honduras,HND,AMR,LMC,2026,2,65+,0.0,2026-02-01,2026Q1
Honduras,HND,AMR,LMC,2026,4,65+,0.0,2026-04-01,2026Q2
Honduras,HND,AMR,LMC,2026,3,65+,0.0,2026-03-01,2026Q1
France,FRA,EUR,HIC,2026,2,65+,3.0,2026-02-01,2026Q1
France,FRA,EUR,HIC,2026,1,65+,6.0,2026-01-01,2026Q1
Estonia,EST,EUR,HIC,2026,4,65+,2.0,2026-04-01,2026Q2
Estonia,EST,EUR,HIC,2026,2,65+,13.0,2026-02-01,2026Q1
Estonia,EST,EUR,HIC,2026,3,65+,8.0,2026-03-01,2026Q1
Latvia,LVA,EUR,HIC,2026,3,65+,2.0,2026-03-01,2026Q1
Latvia,LVA,EUR,HIC,2026,4,65+,4.0,2026-04-01,2026Q2
Latvia,LVA,EUR,HIC,2026,1,65+,0.0,2026-01-01,2026Q1
Latvia,LVA,EUR,HIC,2026,2,65+,0.0,2026-02-01,2026Q1
Ireland,IRL,EUR,HIC,2026,1,65+,10.0,2026-01-01,2026Q1
Ireland,IRL,EUR,HIC,2026,4,65+,2.0,2026-04-01,2026Q2
British Virgin Islands,VGB,AMR,HIC,2026,1,65+,0.0,2026-01-01,2026Q1
British Virgin Islands,VGB,AMR,HIC,2026,2,65+,0.0,2026-02-01,2026Q1
Brazil,BRA,AMR,UMC,2026,3,65+,52.0,2026-03-01,2026Q1
Bosnia and Herzegovina,BIH,EUR,UMC,2026,2,65+,0.0,2026-02-01,2026Q1
Brazil,BRA,AMR,UMC,2026,4,65+,19.0,2026-04-01,2026Q2
Brazil,BRA,AMR,UMC,2026,2,65+,59.0,2026-02-01,2026Q1
Brazil,BRA,AMR,UMC,2026,1,65+,58.0,2026-01-01,2026Q1
Bosnia and Herzegovina,BIH,EUR,UMC,2026,1,65+,0.0,2026-01-01,2026Q1
Bolivia (Plurinational State of),BOL,AMR,LMC,2026,3,65+,0.0,2026-03-01,2026Q1
Bolivia (Plurinational State of),BOL,AMR,LMC,2026,4,65+,0.0,2026-04-01,2026Q2
Bolivia (Plurinational State of),BOL,AMR,LMC,2026,1,65+,0.0,2026-01-01,2026Q1
Bolivia (Plurinational State of),BOL,AMR,LMC,2026,2,65+,0.0,2026-02-01,2026Q1
Czechia,CZE,EUR,HIC,2026,3,65+,1.0,2026-03-01,2026Q1
Czechia,CZE,EUR,HIC,2026,4,65+,2.0,2026-04-01,2026Q2
Czechia,CZE,EUR,HIC,2026,1,65+,15.0,2026-01-01,2026Q1
Czechia,CZE,EUR,HIC,2026,2,65+,6.0,2026-02-01,2026Q1
Estonia,EST,EUR,HIC,2026,1,65+,10.0,2026-01-01,2026Q1
Dominica,DMA,AMR,UMC,2026,4,65+,0.0,2026-04-01,2026Q2
Dominica,DMA,AMR,UMC,2026,1,65+,0.0,2026-01-01,2026Q1
Dominica,DMA,AMR,UMC,2026,3,65+,0.0,2026-03-01,2026Q1
Dominica,DMA,AMR,UMC,2026,2,65+,0.0,2026-02-01,2026Q1
Chile,CHL,AMR,HIC,2026,4,65+,1.0,2026-04-01,2026Q2
Chile,CHL,AMR,HIC,2026,2,65+,1.0,2026-02-01,2026Q1
Chile,CHL,AMR,HIC,2026,1,65+,5.0,2026-01-01,2026Q1
Chile,CHL,AMR,HIC,2026,3,65+,4.0,2026-03-01,2026Q1
Costa Rica,CRI,AMR,UMC,2026,1,65+,0.0,2026-01-01,2026Q1
Costa Rica,CRI,AMR,UMC,2026,4,65+,0.0,2026-04-01,2026Q2
Costa Rica,CRI,AMR,UMC,2026,2,65+,0.0,2026-02-01,2026Q1
Costa Rica,CRI,AMR,UMC,2026,3,65+,0.0,2026-03-01,2026Q1
Croatia,HRV,EUR,HIC,2026,3,65+,0.0,2026-03-01,2026Q1
Croatia,HRV,EUR,HIC,2026,1,65+,1.0,2026-01-01,2026Q1
Croatia,HRV,EUR,HIC,2026,2,65+,0.0,2026-02-01,2026Q1
Croatia,HRV,EUR,HIC,2026,4,65+,0.0,2026-04-01,2026Q2
Colombia,COL,AMR,UMC,2026,3,65+,0.0,2026-03-01,2026Q1
Colombia,COL,AMR,UMC,2026,2,65+,0.0,2026-02-01,2026Q1
Colombia,COL,AMR,UMC,2026,1,65+,0.0,2026-01-01,2026Q1
Colombia,COL,AMR,UMC,2026,4,65+,0.0,2026-04-01,2026Q2
Suriname,SUR,AMR,UMC,2026,2,65+,0.0,2026-02-01,2026Q1
Suriname,SUR,AMR,UMC,2026,3,65+,0.0,2026-03-01,2026Q1
Suriname,SUR,AMR,UMC,2026,4,65+,0.0,2026-04-01,2026Q2
Suriname,SUR,AMR,UMC,2026,1,65+,0.0,2026-01-01,2026Q1
Sweden,SWE,EUR,HIC,2026,3,65+,71.0,2026-03-01,2026Q1
Sweden,SWE,EUR,HIC,2026,2,65+,95.0,2026-02-01,2026Q1
Sweden,SWE,EUR,HIC,2026,1,65+,87.0,2026-01-01,2026Q1
Sweden,SWE,EUR,HIC,2026,4,65+,31.0,2026-04-01,2026Q2
Saint Lucia,LCA,AMR,UMC,2026,4,65+,0.0,2026-04-01,2026Q2
Saint Lucia,LCA,AMR,UMC,2026,1,65+,0.0,2026-01-01,2026Q1
Saint Lucia,LCA,AMR,UMC,2026,3,65+,0.0,2026-03-01,2026Q1
Slovakia,SVK,EUR,HIC,2026,2,65+,6.0,2026-02-01,2026Q1
Slovakia,SVK,EUR,HIC,2026,1,65+,8.0,2026-01-01,2026Q1
Slovakia,SVK,EUR,HIC,2026,4,65+,1.0,2026-04-01,2026Q2
Slovakia,SVK,EUR,HIC,2026,3,65+,2.0,2026-03-01,2026Q1
United States of America,USA,AMR,HIC,2026,3,65+,864.0,2026-03-01,2026Q1
United States of America,USA,AMR,HIC,2026,2,65+,1256.0,2026-02-01,2026Q1
