Date_reported,iso_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days,YearQuarter
2026-05-10,ARG,ARGENTINA,AMR,13.0,,53.0,,2026Q2
2026-05-10,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,0.0,0.0,1.0,0.0,2026Q2
2026-05-10,BRA,BRAZIL,AMR,27.0,7.0,215.0,66.0,2026Q2
2026-05-10,CHL,CHILE,AMR,0.0,0.0,4.0,0.0,2026Q2
2026-05-10,COL,COLOMBIA,AMR,35.0,0.0,132.0,0.0,2026Q2
2026-05-10,CZE,CZECHIA,EUR,2.0,,17.0,,2026Q2
2026-05-10,DMA,DOMINICA,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-10,ECU,ECUADOR,AMR,3.0,0.0,10.0,0.0,2026Q2
2026-05-10,EST,ESTONIA,EUR,3.0,,13.0,2.0,2026Q2
2026-05-10,GRC,GREECE,EUR,,0.0,,1.0,2026Q2
2026-05-10,HTI,HAITI,AMR,0.0,,0.0,,2026Q2
2026-05-10,HND,HONDURAS,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-10,IRL,IRELAND,EUR,7.0,,29.0,1.0,2026Q2
2026-05-10,LVA,LATVIA,EUR,12.0,,24.0,,2026Q2
2026-05-10,LTU,LITHUANIA,EUR,3.0,0.0,25.0,4.0,2026Q2
2026-05-10,MLT,MALTA,EUR,1.0,,4.0,,2026Q2
2026-05-10,MEX,MEXICO,AMR,4.0,0.0,20.0,1.0,2026Q2
2026-05-10,PAN,PANAMA,AMR,4.0,0.0,38.0,4.0,2026Q2
2026-05-10,PER,PERU,AMR,0.0,0.0,10.0,2.0,2026Q2
2026-05-10,POL,POLAND,EUR,8.0,,33.0,,2026Q2
2026-05-10,PRT,PORTUGAL,EUR,0.0,0.0,1.0,0.0,2026Q2
2026-05-10,LCA,SAINT LUCIA,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-10,SVK,SLOVAKIA,EUR,2.0,,12.0,1.0,2026Q2
2026-05-10,SUR,SURINAME,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-10,GBR,THE UNITED KINGDOM,EUR,109.0,6.0,517.0,19.0,2026Q2
2026-05-10,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-10,UKR,UKRAINE,EUR,0.0,0.0,5.0,0.0,2026Q2
2026-05-10,URY,URUGUAY,AMR,0.0,0.0,4.0,1.0,2026Q2
2026-05-03,ARG,ARGENTINA,AMR,12.0,,56.0,,2026Q2
2026-05-03,BOL,BOLIVIA (PLURINATIONAL STATE OF),AMR,0.0,0.0,1.0,0.0,2026Q2
2026-05-03,BRA,BRAZIL,AMR,49.0,14.0,257.0,77.0,2026Q2
2026-05-03,CHL,CHILE,AMR,1.0,0.0,8.0,1.0,2026Q2
2026-05-03,COL,COLOMBIA,AMR,38.0,0.0,123.0,0.0,2026Q2
2026-05-03,CRI,COSTA RICA,AMR,1.0,0.0,13.0,0.0,2026Q2
2026-05-03,DMA,DOMINICA,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-03,ECU,ECUADOR,AMR,3.0,0.0,8.0,0.0,2026Q2
2026-05-03,EST,ESTONIA,EUR,1.0,,18.0,2.0,2026Q2
2026-05-03,GRC,GREECE,EUR,,0.0,,1.0,2026Q2
2026-05-03,HTI,HAITI,AMR,0.0,,0.0,,2026Q2
2026-05-03,HND,HONDURAS,AMR,0.0,0.0,0.0,0.0,2026Q2
2026-05-03,IRL,IRELAND,EUR,8.0,1.0,28.0,1.0,2026Q2
2026-05-03,LVA,LATVIA,EUR,5.0,,15.0,,2026Q2
2026-05-03,LTU,LITHUANIA,EUR,3.0,0.0,32.0,5.0,2026Q2
2026-05-03,MLT,MALTA,EUR,1.0,,4.0,,2026Q2
2026-05-03,MEX,MEXICO,AMR,7.0,0.0,21.0,1.0,2026Q2
