iso_code,DATE,INDICATOR,VALUE,CATEGORY,QUARTER,YEAR,YearQuarter
ERI,2025-01-01,policy_vacc,NO,Older adults,4,2024,2025Q1
ERI,2025-01-01,policy_revacc,NO,Older adults,4,2024,2025Q1
BTN,2025-01-01,policy_vacc,YES,Older adults,4,2024,2025Q1
BTN,2025-01-01,policy_revacc,NO,Older adults,4,2024,2025Q1
BTN,2024-04-01,policy_vacc,YES,Older adults,1,2024,2024Q2
BTN,2024-04-01,policy_revacc,YES,Older adults,1,2024,2024Q2
BTN,2024-04-01,policy_revacc_interval,6 months to 1 year,Older adults,1,2024,2024Q2
BTN,2024-07-01,policy_vacc,YES,Older adults,2,2024,2024Q3
BTN,2024-07-01,policy_revacc,YES,Older adults,2,2024,2024Q3
BTN,2024-07-01,policy_revacc_interval,6 months to 1 year,Older adults,2,2024,2024Q3
IRN,2024-04-01,policy_vacc,YES,Older adults,1,2024,2024Q2
IRN,2024-04-01,policy_revacc,YES,Older adults,1,2024,2024Q2
IRN,2024-04-01,policy_revacc_interval,12 m,Older adults,1,2024,2024Q2
IRN,2025-01-01,policy_vacc,NO,Older adults,4,2024,2025Q1
KEN,2025-01-01,policy_vacc,YES,Older adults,4,2024,2025Q1
KEN,2025-01-01,policy_revacc,YES,Older adults,4,2024,2025Q1
KEN,2025-01-01,policy_revacc_interval,6_MONTHS,Older adults,4,2024,2025Q1
KEN,2025-01-01,policy_comment,60 + year old adults,Older adults,4,2024,2025Q1
COM,2025-01-01,policy_vacc,YES,Older adults,4,2024,2025Q1
COM,2025-01-01,policy_revacc,YES,Older adults,4,2024,2025Q1
COM,2025-01-01,policy_revacc_interval,6_MONTHS,Older adults,4,2024,2025Q1
VNM,2025-01-01,policy_vacc,YES,Older adults,4,2024,2025Q1
VNM,2025-01-01,policy_revacc_interval,6_MONTHS,Older adults,4,2024,2025Q1
VNM,2025-01-01,policy_comment,Older adults are adults above 50 years old,Older adults,4,2024,2025Q1
VNM,2025-01-01,policy_revacc,YES,Older adults,4,2024,2025Q1
BGR,2025-01-01,policy_revacc_interval,6_MONTHS,Older adults,4,2024,2025Q1
BGR,2025-01-01,policy_comment,60,Older adults,4,2024,2025Q1
